Time,A,B,_J0
0,1,1,0
0.050505050505050504,1,1,0
0.10101010101010101,1,1,0
0.15151515151515152,1,1,0
0.20202020202020202,1,1,0
0.25252525252525254,1,1,0
0.30303030303030304,1,1,0
0.35353535353535354,1,1,0
0.40404040404040403,1,1,0
0.45454545454545453,1,1,0
0.5050505050505051,1,1,0
0.5555555555555556,1,1,0
0.6060606060606061,1,1,0
0.6565656565656566,1,1,0
0.7070707070707071,1,1,0
0.7575757575757576,1,1,0
0.8080808080808081,1,1,0
0.8585858585858586,1,1,0
0.9090909090909091,1,1,0
0.9595959595959596,1,1,0
1.0101010101010102,1,1,0
1.0606060606060608,1,1,0
1.1111111111111114,1,1,0
1.161616161616162,1,1,0
1.2121212121212126,1,1,0
1.2626262626262632,1,1,0
1.3131313131313138,1,1,0
1.3636363636363644,1,1,0
1.414141414141415,1,1,0
1.4646464646464656,1,1,0
1.5151515151515162,1,1,0
1.5656565656565669,1,1,0
1.6161616161616175,1,1,0
1.666666666666668,1,1,0
1.7171717171717187,1,1,0
1.7676767676767693,1,1,0
1.81818181818182,1,1,0
1.8686868686868705,1,1,0
1.9191919191919211,1,1,0
1.9696969696969717,1,1,0
2.020202020202022,1,1,0
2.0707070707070727,1,1,0
2.1212121212121233,1,1,0
2.171717171717174,1,1,0
2.2222222222222245,1,1,0
2.272727272727275,1,1,0
2.3232323232323258,1,1,0
2.3737373737373764,1,1,0
2.424242424242427,1,1,0
2.4747474747474776,1,1,0
2.525252525252528,1,1,0
2.575757575757579,1,1,0
2.6262626262626294,1,1,0
2.67676767676768,1,1,0
2.7272727272727306,1,1,0
2.7777777777777812,1,1,0
2.828282828282832,1,1,0
2.8787878787878824,1,1,0
2.929292929292933,1,1,0
2.9797979797979837,1,1,0
3.0303030303030343,1,1,0
3.080808080808085,1,1,0
3.1313131313131355,1,1,0
3.181818181818186,1,1,0
3.2323232323232367,1,1,0
3.2828282828282873,1,1,0
3.333333333333338,1,1,0
3.3838383838383885,1,1,0
3.434343434343439,1,1,0
3.4848484848484897,1,1,0
3.5353535353535404,1,1,0
3.585858585858591,1,1,0
3.6363636363636416,1,1,0
3.686868686868692,1,1,0
3.737373737373743,1,1,0
3.7878787878787934,1,1,0
3.838383838383844,1,1,0
3.8888888888888946,1,1,0
3.939393939393945,1,1,0
3.989898989898996,1,1,0
4.040404040404046,1,1,0
4.090909090909096,1,1,0
4.141414141414146,1,1,0
4.1919191919191965,1,1,0
4.242424242424247,1,1,0
4.292929292929297,1,1,0
4.343434343434347,1,1,0
4.393939393939397,1,1,0
4.444444444444447,1,1,0
4.4949494949494975,1,1,0
4.545454545454548,1,1,0
4.595959595959598,1,1,0
4.646464646464648,1,1,0
4.696969696969698,1,1,0
4.747474747474748,1,1,0
4.7979797979797985,1,1,0
4.848484848484849,1,1,0
4.898989898989899,1,1,0
4.949494949494949,1,1,0
4.999999999999999,1,1,0
